Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,56.752873563218394,-4.0519223,10.671676118938908,10.671676118938908,1.0
20000,1.4189383,57.052023121387286,-3.9740078,11.338372148746668,11.338372148746668,1.0
30000,1.4181988,59.42424242424242,-1.8788674,22.250302642764467,22.250302642764467,1.0
40000,1.418123,58.345238095238095,-1.7324605,17.01715935898956,17.01715935898956,1.0
50000,1.4177917,61.13664596273292,-0.7715336,18.6447202152347,18.6447202152347,1.0
60000,1.4177341,61.06832298136646,-0.76718366,23.56086900811758,23.56086900811758,1.0
70000,1.4158239,61.8125,-0.06219864,24.57421326862191,24.57421326862191,1.0
80000,1.415375,60.95031055900621,0.07833352,26.506789644559223,26.506789644559223,1.0
90000,1.414704,65.59333333333333,0.59542954,46.18866581757863,46.18866581757863,1.0
100000,1.4145068,63.883116883116884,0.76769835,41.692856342761544,41.692856342761544,1.0
110000,1.4143659,66.45945945945945,0.937778,44.89662135553521,44.89662135553521,1.0
120000,1.4143003,66.19463087248322,0.95908314,37.17181158495829,37.17181158495829,1.0
130000,1.4137809,65.1907894736842,1.2718787,41.57170988354636,41.57170988354636,1.0
140000,1.4134954,67.04109589041096,1.3452729,50.97602639755566,50.97602639755566,1.0
150000,1.412686,67.57638888888889,1.6926585,53.733332404866815,53.733332404866815,1.0
160000,1.4121386,73.75,1.89763,68.64705819138052,68.64705819138052,1.0
170000,1.4120661,70.56115107913669,2.0513403,65.86114954787621,65.86114954787621,1.0
180000,1.4119974,70.59285714285714,2.167238,72.71071354219956,72.71071354219956,1.0
190000,1.4112418,68.78873239436619,2.2236724,60.25845002792251,60.25845002792251,1.0
200000,1.4104124,70.3006993006993,2.3866284,83.55281551287207,83.55281551287207,1.0
210000,1.4100229,69.35460992907801,2.5264194,80.84225222132575,80.84225222132575,1.0
220000,1.4095103,71.88970588235294,2.4647985,76.46496258686929,76.46496258686929,1.0
230000,1.409281,76.22307692307692,2.7024562,98.48992264374743,98.48992264374743,1.0
240000,1.4088904,73.55223880597015,3.0217264,97.82196926709378,97.82196926709378,1.0
250000,1.4091547,72.0948905109489,3.2357132,94.52302109423302,94.52302109423302,1.0
260000,1.4097488,74.9469696969697,3.471284,97.39696914843763,97.39696914843763,1.0
270000,1.4097986,75.41221374045801,3.626379,97.52518995345093,97.52518995345093,1.0
280000,1.4099113,76.2015503875969,3.7975838,106.06278882100601,106.06278882100601,1.0
290000,1.4101624,78.35714285714286,3.9098113,117.14047557878352,117.14047557878352,1.0
300000,1.4110863,77.68503937007874,4.131805,99.95511674880981,99.95511674880981,1.0
310000,1.4108542,75.3,4.5965137,111.83230704619335,111.83230704619335,1.0
320000,1.4095427,79.688,4.807944,116.88639895784856,116.88639895784856,1.0
